Line Item,Original Model (V1 - COFO),Realistic Model (V2 - FOCO),Variance (₹),Variance (%),Strategic Commentary
Daily Operating Days / Month,26 Days,26 Days,0,0.0%,Standard 6-day operating week
Daily Unlimited Package Guests,"105 Guests (@ ₹1,499)","105 Guests (@ ₹1,499)",0,0.0%,Average 2 table turns at 100 covers
Daily A La Carte Guests,45 Guests (@ ₹850),45 Guests (@ ₹850),0,0.0%,Walk-ins & bar stool orders
Monthly Package Revenue (₹),"40,92,270","40,92,270",0,0.0%,Primary anchor revenue stream
Monthly A La Carte Revenue (₹),"9,94,500","9,94,500",0,0.0%,Food and specialty spirit add-ons
Total Monthly Gross Revenue (₹),"50,86,770","50,86,770",0,0.0%,Gross top-line per lounge
Food & Beverage COGS (₹),"19,86,770 (39.0%)","24,41,650 (48.0%)","+4,54,880",+22.9%,Higher food inflation and waste in realistic model
Gross Profit (₹),"31,00,000 (61.0%)","26,45,120 (52.0%)","-4,54,880",-14.7%,Gross margin compression under realistic wastage
Real Estate Rent & CAM (₹),"1,00,000","4,50,000","+3,50,000",+350.0%,Prime 2500-3000 sq.ft commercial footprint
Staff Salaries (14 vs 22 staff) (₹),"2,20,000","5,50,000","+3,30,000",+150.0%,"2-shift staffing for kitchen, bar, service & security"
"Electricity, HVAC & Power (₹)","60,000","1,50,000","+90,000",+150.0%,Heavy refrigeration for kegs and HVAC cooling
Franchise Royalty (6%) (₹),"1,28,000","1,50,000","+22,000",+17.2%,Standard 6% revenue royalty to franchisor
Local Marketing & POS Tech (₹),"66,000","1,50,000","+84,000",+127.3%,"Performance marketing, CCTV cloud, POS subscriptions"
FL-III License Amortization (₹),0 (Omitted),"1,20,000","+1,20,000",N/A,₹14.4 Lakh annual MH bar license amortized
"Breakage, Spoilage & Security (₹)","70,000","80,000","+10,000",+14.3%,Glassware replacement and waste control
Total Monthly OPEX (₹),"6,44,000","16,50,000","+10,06,000",+156.2%,Real-world OPEX is 2.5x original estimate
Net Operating Profit Monthly (₹),"24,56,000","9,95,120","-14,60,880",-59.5%,Realistic monthly cash flow to franchisee
Annual Net Profit (₹),"2,94,72,000","1,19,41,440","-1,75,30,560",-59.5%,Sustainable annual earnings
Initial Franchise Setup Capex (₹),"1,15,00,000","1,25,00,000","+10,00,000",+8.7%,"License, interior fitout, stock deposit"
Payback Period (Months),4.7 Months,12.6 - 18.0 Months,+8-13 Months,+168%,12-18 months is highly competitive for F&B
